sl,players_name,matches,most_wickets,year
1,Sohail Tanvir,11,22,2008
2,Shane Warne,15,19,2008
3,Shanthakumaran Sreesanth,15,19,2008
4,Piyush Chawla,15,17,2008
5,Albie Morkel,13,17,2008
6,Shane Watson,15,17,2008
7,Manpreet Gony,16,17,2008
8,Yo Mahesh,11,16,2008
9,Irfan Pathan,14,15,2008
10,RP Singh,14,15,2008
1,RP Singh,16,23,2009
2,Anil Kumble,16,21,2009
3,Pragyan Ojha,15,18,2009
4,Lasith Malinga,13,18,2009
5,Irfan Pathan,14,17,2009
6,Munaf Patel,11,16,2009
7,Shane Warne,13,14,2009
8,Muttiah Muralitharan,13,14,2009
9,Amit Misra,11,14,2009
10,Yusuf Abdulla,9,14,2009
1,Pragyan Ojha,16,21,2010
2,Harbhajan Singh,15,17,2010
3,Anil Kumble,16,17,2010
4,Amit Mishra,14,17,2010
5,Vinay Kumar,14,16,2010
6,Zaheer Khan,14,15,2010
7,Dale Steyn,15,15,2010
8,Irfan Pathan,14,15,2010
9,Kieron Pollard,14,15,2010
10,Lasith Malinga,13,15,2010
1,Lasith Malinga,16,28,2011
2,Munaf Patel,15,22,2011
3,Sreenath Aravind,13,21,2011
4,Ravichandran Ashwin,16,20,2011
5,Amit Mishra,14,19,2011
6,Doug Bollinger,13,17,2011
7,Iqbal Abdulla,15,16,2011
8,Ryan Harris,13,16,2011
9,Rahul Sharma,14,16,2011
10,Piyush Chawla,12,16,2011
1,Morne Morkel,16,25,2012
2,Sunil Narine,15,24,2012
3,Lasith Malinga,14,22,2012
4,Umesh Yadav,17,19,2012
5,Vinay Kumar,15,19,2012
6,Dale Steyn,12,18,2012
7,Parvinder Awana,12,17,2012
8,Zaheer Khan,16,17,2012
9,Kieron Pollard,14,16,2012
10,Piyush Chawla,16,16,2012
1,Dwayne Bravo,18,32,2013
2,James Faulkner,16,28,2013
3,Harbhajan Singh,19,24,2013
4,Mitchell Johnson,17,24,2013
5,Vinay Kumar,16,23,2013
6,Sunil Narine,16,22,2013
7,Amit Mishra,17,21,2013
8,Lasith Malinga,17,20,2013
9,Mohit Sharma,15,20,2013
10,Dale Steyn,17,19,2013
1,Mohit Sharma,16,23,2014
2,Sunil Narine,16,21,2014
3,Bhuvneshwar Kumar,14,20,2014
4,Ravindra Jadeja,16,19,2014
5,Sandeep Sharma,11,18,2014
6,Mitchell Johnson,14,17,2014
7,Axar Patel,17,17,2014
8,Lasith Malinga,10,16,2014
9,Varun Aaron,10,16,2014
10,Ravichandran Ashwin,16,16,2014
1,Dwayne Bravo,17,26,2015
2,Lasith Malinga,15,24,2015
3,Yuzvendra Chahal,15,23,2015
4,Ashish Nehra,16,22,2015
5,Mitchell Starc,13,20,2015
6,Mitchell McClenaghan,12,18,2015
7,Harbhajan Singh,15,18,2015
8,Bhuvneshwar Kumar,14,18,2015
9,Harshal Patel,15,17,2015
