sl,players_name,matches,most_runs,year,team
1,Shaun Marsh,11,616,2008,Kings XI Punjab 
2,Gautam Gambhir,14,534,2008,Delhi Daredevils
3,Sanath Jayasuriya,14,518,2008,Mumbai Indians
4,Shane Watson,15,472,2008,Rajastan Royals
5,Graeme Smith,11,441,2008,Rajastan Royals
6,Adam Gilchrist,14,436,2008,Deccan Charges
7,Yusuf Pathan,16,435,2008,Rajastan Royals
8,Suresh Raina,16,421,2008,Chennai Super Kings
9,MS Dhoni,16,414,2008,Chennai Super Kings
10,Virender Sehwag,14,406,2008,Delhi Daredevils
1,Matthew Hayden,12,572,2009,Chennai Super Kings
2,Adam Gilchrist,16,495,2009,Deccan Charges
3,Suresh Raina,14,434,2009,Chennai Super Kings
4,JP Duminy,13,372,2009,Mumbai Indians
5,Herschelle Gibbs,14,371,2009,Deccan Charges
6,Brad Hodge,12,365,2009,Kolkata Knight Riders
7,Sachin Tendulkar,13,364,2009,Mumbai Indians
8,Rohit Sharma,16,362,2009,Deccan Charges
9,Jacques Kallis,15,361,2009,Royal Challengers Banglore
10,Yuvraj Singh,14,340,2009,Kings XI Punjab 
1,Sachin Tendulkar,15,618,2010,Mumbai Indians
2,Jacques Kallis,16,572,2010,Royal Challengers Banglore
3,Suresh Raina,16,520,2010,Chennai Super Kings
4,Sourav Ganguly,14,493,2010,Kolkata Knight Riders
5,Murali Vijay,15,458,2010,Chennai Super Kings
6,Mahela Jayawardena,13,439,2010,Kings XI Punjab 
7,Andrew Symonds,16,429,2010,Deccan Charges
8,Saurabh Tiwary,16,419,2010,Mumbai Indians
9,Rohit Sharma,16,404,2010
10,Naman Ojha,14,377,2010,Rajastan Royals
1,Chris Gayle,12,608,2011,Royal Challengers Banglore 
2,Virat Kohli,16,557,2011,Royal Challengers Banglore
3,Sachin Tendulkar,16,553,2011,Mumbai Indians
4,Shaun Marsh,14,504,2011,Kings XI Punjab
5,Michael Hussey,14,492,2011,Chennai Super Kings
6,Paul Valthaty,14,463,2011,Kings XI Punjab
7,Suresh Raina,16,438,2011,Chennai Super Kings
8,Murali Vijay,16,434,2011,Chennai Super Kings
9,Virender Sehwag,11,424,2011,Delhi Daredevils
