City,Date,Eliminator,Id,Looser,Method,Player Of Match,Result,Team1,Team2,Toss Decision,Toss Winner,Umpire1,Umpire2,Venue,Winner,Neutral Venue,Result Margin,Latitude,Longitude
Bangalore,18/04/2008,N,335982,Royal Challengers Bangalore,NA,BB McCullum,runs,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Asad Rauf,RE Koertzen,M Chinnaswamy Stadium,Kolkata Knight Riders,0,140,12.9699,77.598
Chandigarh,19/04/2008,N,335983,Kings XI Punjab,NA,MEK Hussey,runs,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,MR Benson,SL Shastri,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,33,30.7353,76.7911
Delhi,19/04/2008,N,335984,Rajasthan Royals,NA,MF Maharoof,wickets,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,Aleem Dar,GA Pratapkumar,Feroz Shah Kotla,Delhi Daredevils,0,9,28.6448,77.216721
Mumbai,20/04/2008,N,335985,Mumbai Indians,NA,MV Boucher,wickets,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,SJ Davis,DJ Harper,Wankhede Stadium,Royal Challengers Bangalore,0,5,18.9667,72.8333
Kolkata,20/04/2008,N,335986,Deccan Chargers,NA,DJ Hussey,wickets,Kolkata Knight Riders,Deccan Chargers,bat,Deccan Chargers,BF Bowden,K Hariharan,Eden Gardens,Kolkata Knight Riders,0,5,22.5411,88.3378
Jaipur,21/04/2008,N,335987,Kings XI Punjab,NA,SR Watson,wickets,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,Aleem Dar,RB Tiffin,Sawai Mansingh Stadium,Rajasthan Royals,0,6,26.9167,75.8667
Hyderabad,22/04/2008,N,335988,Deccan Chargers,NA,V Sehwag,wickets,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,IL Howell,AM Saheba,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,9,17.38714,78.491684
Chennai,23/04/2008,N,335989,Mumbai Indians,NA,ML Hayden,runs,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,DJ Harper,GA Pratapkumar,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,6,13.09,80.27
Hyderabad,24/04/2008,N,335990,Deccan Chargers,NA,YK Pathan,wickets,Deccan Chargers,Rajasthan Royals,field,Rajasthan Royals,Asad Rauf,MR Benson,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,0,3,17.38714,78.491684
Chandigarh,25/04/2008,N,335991,Mumbai Indians,NA,KC Sangakkara,runs,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,Aleem Dar,AM Saheba,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0,66,30.7353,76.7911
Bangalore,26/04/2008,N,335992,Royal Challengers Bangalore,NA,SR Watson,wickets,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,MR Benson,IL Howell,M Chinnaswamy Stadium,Rajasthan Royals,0,7,12.9699,77.598
Chennai,26/04/2008,N,335993,Kolkata Knight Riders,NA,JDP Oram,wickets,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,9,13.09,80.27
Mumbai,27/04/2008,N,335994,Mumbai Indians,NA,AC Gilchrist,wickets,Mumbai Indians,Deccan Chargers,field,Deccan Chargers,Asad Rauf,SL Shastri,Dr DY Patil Sports Academy,Deccan Chargers,0,10,18.9667,72.8333
Chandigarh,27/04/2008,N,335995,Delhi Daredevils,NA,SM Katich,wickets,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,RE Koertzen,I Shivram,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,0,4,30.7353,76.7911
Bangalore,28/04/2008,N,335996,Royal Challengers Bangalore,NA,MS Dhoni,runs,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,BR Doctrove,RB Tiffin,M Chinnaswamy Stadium,Chennai Super Kings,0,13,12.9699,77.598
Kolkata,29/04/2008,N,335997,Kolkata Knight Riders,NA,ST Jayasuriya,wickets,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,BF Bowden,AV Jayaprakash,Eden Gardens,Mumbai Indians,0,7,22.5411,88.3378
Delhi,30/04/2008,N,335998,Royal Challengers Bangalore,NA,GD McGrath,runs,Delhi Daredevils,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Aleem Dar,I Shivram,Feroz Shah Kotla,Delhi Daredevils,0,10,28.6448,77.216721
