Country,EcoFootprint,Biocapacity,CO2Emission,Population,Region
United States,8.22,3.76,16.4,317.5,America
Saudi Arabia,5.61,0.5,17.9,28.29,Asia
Russia,5.69,6.79,12.5,143.17,Asia
China,3.38,0.94,7.6,1408.04,Asia
Canada,8.17,16.01,13.5,34.84,America
United Kingdom,7.93,0.56,7.1,65.648,Europe
Italy,4.61,1.08,5.7,60.92,Europe
France,5.14,3.11,5,63.98,Europe
Sweden,7.25,10.62,4.6,9.51,Europe
Denmark,5.51,4.78,6.8,5.6,Europe
Netherlands,5.28,1.17,10.1,16.71,Europe
Brazil,3.11,9.08,2.5,198.66,Southamerica
Argentina,3.14,6.92,4.5,41.09,Southamerica
Germany,5.3,2.27,9.2,82.8,Europe
Nigeria,1.16,0.7,0.6,168.83,Africa
South Africa,3.31,1.15,8.9,52.39,Africa
